source,target,length,source_x,source_y
483,217,29.058,883583,-5.34736e+06
100,99,29.058,917903,-5.33656e+06
100,1230,29.058,917903,-5.33656e+06
100,860,29.058,917903,-5.33656e+06
100,869,29.058,917903,-5.33656e+06
101,752,29.058,914741,-5.33759e+06
101,975,29.058,914741,-5.33759e+06
101,169,29.058,914741,-5.33759e+06
916,244,29.058,876633,-5.35076e+06
916,236,29.058,876633,-5.35076e+06
916,451,29.058,876633,-5.35076e+06
493,488,29.058,943635,-5.32924e+06
102,103,29.058,921115,-5.33536e+06
102,570,29.058,921115,-5.33536e+06
102,105,29.058,921115,-5.33536e+06
103,102,29.058,920952,-5.33541e+06
1092,1013,29.058,882727,-5.34905e+06
503,379,29.058,901885,-5.34173e+06
503,897,29.058,901885,-5.34173e+06
503,381,29.058,901885,-5.34173e+06
104,105,29.058,920891,-5.33543e+06
105,104,29.058,921151,-5.3354e+06
105,102,29.058,921151,-5.3354e+06
105,109,29.058,921151,-5.3354e+06
920,918,29.058,901893,-5.34329e+06
920,903,29.058,901893,-5.34329e+06
920,275,29.058,901893,-5.34329e+06
1094,1093,29.058,884401,-5.34631e+06
497,498,29.058,914935,-5.33703e+06
497,499,29.058,914935,-5.33703e+06
497,274,29.058,914935,-5.33703e+06
106,107,29.058,920932,-5.33537e+06
107,106,29.058,921180,-5.33539e+06
107,974,29.058,921180,-5.33539e+06
107,91,29.058,921180,-5.33539e+06
491,490,29.058,944457,-5.32899e+06
491,76,29.058,944457,-5.32899e+06
491,337,29.058,944457,-5.32899e+06
108,1124,29.058,917906,-5.33655e+06
108,434,29.058,917906,-5.33655e+06
108,110,29.058,917906,-5.33655e+06
109,434,29.058,919391,-5.33606e+06
109,749,29.058,919391,-5.33606e+06
109,105,29.058,919391,-5.33606e+06
924,703,29.058,892508,-5.34547e+06
501,1251,29.058,907178,-5.34003e+06
501,728,29.058,907178,-5.34003e+06
501,392,29.058,907178,-5.34003e+06
110,114,29.058,916106,-5.33712e+06
