Time,VehicleID,EdgeID,LaneIndex,Speed_mps,Accel_mps2,Pos_m,RouteIndex,WaitTime_s,OriginID,DestID
48.6998,120,647,2,19.1255,0.0208605,120.15,4,0,337,68
48.6998,121,408,0,19.9532,-0.00669408,194.902,4,0,584,404
48.6998,122,207,0,15.6442,-4.91433e-06,292.829,4,0,75,112
48.6998,123,92,0,19.301,0.19703,127.494,2,0,41,239
48.6998,124,360,0,15.6371,-0.000122708,83.3837,5,0,259,675
48.6998,125,330,1,13.1902,-0.127028,112.108,6,0,303,566
48.6998,126,1292,0,19.8946,-0.0062763,74.2625,5,0,567,502
48.6998,127,135,2,19.975,0.0117913,47.4591,6,0,260,85
48.6998,128,796,1,15.6439,-1.44869e-05,64.9901,4,0,390,640
48.6998,130,1088,0,26.9222,0.389154,281.574,4,0,432,495
48.6998,131,715,0,19.2882,-0.274858,296.57,4,0,100,63
48.6998,132,680,0,15.6429,-0.00170335,164.968,3,0,90,428
48.6998,133,623,0,15.4372,-0.0379797,19.1049,8,0,268,434
48.6998,134,91,1,15.6441,-0.0268392,171.609,6,0,407,488
48.6998,135,1402,1,2.46862,-1.15522,248.121,8,0,23,623
48.6998,136,435,0,19.4152,-0.145562,78.3345,6,0,387,65
48.6998,137,274,3,20.0538,0.0121921,72.7945,12,0,628,598
48.6998,138,856,1,19.9351,-8.87141e-05,177.839,6,0,671,77
48.6998,139,703,0,20.0816,-0.000731742,15.2063,6,0,474,619
48.6998,140,37,2,15.6398,0.00132887,99.8719,5,0,229,466
48.6998,141,967,0,15.6367,-0.0128517,186.519,3,0,585,173
48.6998,142,474,1,15.642,-5.91879e-05,164.512,5,0,304,90
48.6998,143,382,1,14.5766,0.300918,81.7214,5,0,396,148
48.6998,148,736,0,15.1781,0.0913918,293.763,4,0,443,209
48.6998,149,370,1,15.6232,0.00205528,295.73,3,0,545,132
48.6998,150,856,0,20.0074,-0.0125513,505.849,4,0,450,678
48.6998,151,1100,2,20.0267,-0.00288355,6.70671,9,0,409,21
48.6998,152,330,0,15.5733,0.0246186,4.6112,8,0,221,657
48.6998,153,875,1,15.6173,-0.00199976,285.929,2,0,419,121
48.6998,154,335,0,15.6425,-1.34613e-05,133.312,5,0,363,27
48.6998,155,1185,0,19.3202,-0.347475,137.52,6,0,285,558
48.6998,156,313,1,15.6285,-0.000346578,49.3419,6,0,79,325
48.6998,157,1277,1,19.5677,0.152784,74.8724,5,0,330,374
48.6998,158,593,0,15.4494,0.00059412,420.646,3,0,144,467
48.6998,159,1052,1,15.3821,0.00628715,60.3598,5,0,427,273
48.6998,160,322,0,15.628,0.00538845,36.1509,5,0,164,375
48.6998,161,1396,0,20.1008,-0.000204811,164.463,6,0,647,479
48.6998,162,1302,2,15.5949,0.0198192,6.95963,6,0,378,20
48.6998,163,529,2,20.0981,-0.000154825,246.689,7,0,76,226
48.6998,164,383,0,15.4542,0.000591991,513.519,3,0,211,222
48.6998,165,1052,1,15.2872,-0.0522079,167.602,6,0,225,64
48.6998,166,869,0,20.094,0.00186711,84.1668,6,0,182,416
48.6998,167,294,1,20.0985,6.52297e-05,106.466,4,0,360,219
48.6998,168,1238,0,15.646,-4.29153e-06,40.0633,3,0,572,120
48.6998,169,1003,0,15.6005,-0.000317434,241.311,8,0,346,300
48.6998,170,860,0,11.7045,-0.793826,10.1075,6,0,345,445
48.6998,171,157,0,15.6034,-8.00947e-05,261.567,5,0,398,465
48.6998,172,1030,0,27.5763,0.27229,336.247,5,0,505,190
48.6998,173,11,0,28.061,0.196039,152.135,8,0,626,339
48.6998,179,620,0,14.5744,0.0523187,115.744,7,0,421,435
48.6998,180,949,3,20.0953,8.60123e-06,69.7931,6,0,181,539
48.6998,181,1099,0,28.9608,-0.00257943,203.008,2,0,506,618
48.6998,182,1400,0,16.7902,0.785052,21.6482,3,0,328,552
48.6998,183,293,0,20.0932,-0.000411086,66.7295,6,0,282,63
48.6998,184,744,0,20.1069,0.000594732,19.6617,6,0,132,358
48.6998,185,1280,2,19.9843,0.0381191,25.2934,5,0,529,144
48.6998,186,943,0,15.404,-0.565704,48.737,8,0,501,58
48.6998,187,279,0,20.1079,-8.69736e-05,47.2279,10,0,9,87
48.6998,188,207,0,15.1965,-0.000101723,149.536,6,0,408,377
48.6998,189,922,0,13.5599,-0.366721,92.5574,5,0,64,396
48.6998,190,125,1,15.3306,-0.0782572,9.98652,10,0,281,124
48.6998,191,1296,0,15.2279,0.159675,126.25,3,0,110,194
48.6998,192,294,0,19.4689,0.185012,51.2675,4,0,349,37
48.6998,193,246,1,15.6435,-1.70047e-05,216.581,3,0,99,685
48.6998,195,87,1,15.6322,0.00178883,398.384,2,0,125,462
48.6998,196,241,0,15.2989,0.133332,333.113,2,0,98,175
48.6998,197,631,2,15.6387,0.00198286,168.218,5,0,603,460
48.6998,198,800,0,14.8722,0.00398592,272.128,7,0,618,166
48.6998,199,316,0,15.6216,0.0060858,5.89042,3,0,242,203
48.6998,200,1165,0,20.0469,0.0120981,14.0078,6,0,50,166
48.6998,201,593,0,15.3617,0.000525422,323.436,4,0,324,605
48.6998,202,1185,2,19.5454,0.166058,86.1945,7,0,310,566
48.6998,203,792,1,15.5084,-0.0155706,684.37,2,0,578,316
48.6998,204,1400,2,19.9779,-0.00531958,164.664,8,0,403,650
48.6998,205,631,2,15.4662,-0.044805,74.1815,4,0,22,422
48.6998,208,1150,0,17.1226,0.688941,4.11675,4,0,558,614
48.6998,209,33,2,15.1749,0.121474,237.374,5,0,231,99
48.6998,210,30,0,15.6356,0.00274823,166.381,5,0,466,357
48.6998,211,330,1,13.3466,0.0476464,144.509,6,0,223,439
48.6998,212,868,3,18.8468,0.349613,89.9707,4,0,70,433
48.6998,213,1137,0,15.6372,-0.00012091,28.1628,6,0,518,589
48.6998,214,1255,0,19.3218,-0.00115867,301.757,4,0,86,508
48.6998,215,801,0,18.4504,0.434492,72.5299,5,0,389,495
48.6998,216,1011,2,19.5601,0.162879,146.543,3,0,318,381
48.6998,217,207,0,15.028,0.0109023,231.321,3,0,412,309
48.6998,218,335,1,15.5014,0.0564643,85.3966,5,0,363,670
48.6998,219,847,1,15.4318,-0.0317787,81.9024,7,0,37,649
48.6998,220,89,0,15.6248,-0.000631782,175.742,4,0,326,178
48.6998,221,1128,1,15.6452,2.59149e-06,452.631,5,0,561,656
48.6998,222,620,0,15.4729,0.0332202,162.515,3,0,157,212
48.6998,223,1164,2,20.0512,0.00239984,128.626,9,0,597,150
48.6998,224,241,0,15.4963,0.00168117,191.085,5,0,480,112
48.6998,225,1094,0,14.564,-0.158037,240.582,2,0,491,627
48.6998,226,818,0,15.5909,0.021209,181.497,7,0,489,117
48.6998,227,795,0,15.6449,-4.90721e-06,268.826,3,0,481,7
48.6998,228,436,3,20.0235,-0.00304322,77.1449,7,0,235,307
48.6998,229,529,2,19.918,0.000445956,86.1981,6,0,665,265
48.6998,230,24,0,14.2353,0.0777173,164.112,3,0,245,669
48.6998,231,773,0,15.5886,1.64341e-05,141.156,5,0,119,553
48.6998,236,748,0,15.6214,0.0074002,321.362,4,0,88,250
48.6998,237,715,0,19.4578,-0.039207,353.107,7,0,672,18
48.6998,238,1052,0,15.2393,0.0545698,14.5034,5,0,427,142
48.6998,239,11,1,26.69,0.437103,43.3261,9,0,497,571
48.6998,314,566,0,15.8298,-0.0749522,157.312,1,0,430,587
48.7998,0,1185,1,19.6639,0.132878,16.571,8,0,656,102
48.7998,1,91,1,15.6334,-0.000357241,369.719,3,0,361,663
48.7998,2,1253,0,15.6356,-0.0207705,176.068,8,0,640,248
48.7998,3,1132,0,15.6449,-4.74913e-06,145.188,6,0,12,364
48.7998,4,567,0,15.6432,-2.39521e-05,69.3368,3,0,207,20
48.7998,5,305,0,15.6338,-0.000197284,57.6869,3,0,129,228
48.7998,6,1379,0,20.0369,0.0169029,14.2223,5,0,215,261
48.7998,7,362,1,19.3079,0.231972,104.854,5,0,609,399
48.7998,8,1003,0,15.64,-7.15624e-05,479.356,6,0,432,513
48.7998,9,682,0,19.3737,0.214039,127.034,4,0,467,61
